time_worker_0,idle_time_0,heavy_0,time_worker_1,idle_time_1,heavy_1,time_worker_2,idle_time_2,heavy_2,time_worker_3,idle_time_3,heavy_3,total_chunk_time,total_idle,total_heavy
0.0120495,0.0042467993,96,0.0126542,0.003642099,88,0.0116829,0.0046133995,81,0.0137687,0.0025275992,91,0.0162963,0.015029897,356
0.013359,0.0042200005,97,0.0139505,0.0036285007,107,0.0133181,0.0042609004,86,0.013128,0.004451,81,0.017579,0.016560402,371
0.0149328,0.00054709986,102,0.0133596,0.0021203002,117,0.0122317,0.0032481998,94,0.0129751,0.0025047995,104,0.0154799,0.008420399,417
0.0130352,0.0038614003,87,0.0141262,0.0027703997,118,0.014721,0.0021756003,103,0.0139318,0.0029648002,101,0.0168966,0.0117722,409
0.0127661,0.0047036996,87,0.0143208,0.003148999,113,0.0134425,0.0040272996,105,0.0142249,0.0032448992,103,0.0174698,0.0151248975,408
0.0117266,0.0042142,86,0.0139753,0.0019655004,99,0.0130928,0.0028480003,108,0.0138762,0.0020646006,95,0.0159408,0.011092301,388
0.0129155,0.0030923998,116,0.0124079,0.0036000004,91,0.0117279,0.00428,86,0.0137023,0.0023055999,108,0.0160079,0.013278,401
0.0122842,0.0049292995,82,0.0125038,0.004709699,95,0.0127223,0.004491199,99,0.014639,0.0025744988,101,0.0172135,0.016704697,377
0.0130651,0.003153,118,0.0129453,0.0032727998,94,0.0120429,0.0041752,86,0.0125721,0.0036459994,92,0.0162181,0.014246999,390
0.0134528,0.0038226992,99,0.0141435,0.0031319996,90,0.0139684,0.0033070995,112,0.0134571,0.0038183993,94,0.0172755,0.014080198,395
0.0127172,0.0036506988,95,0.0130687,0.003299199,96,0.0134711,0.0028967997,112,0.0133002,0.0030676993,100,0.0163679,0.012914397,403
0.0120872,0.0043629,96,0.01233,0.0041200994,95,0.0124663,0.0039837994,100,0.0131061,0.0033439994,85,0.0164501,0.015810799,376
0.0136778,0.0044947993,104,0.0135404,0.004632199,98,0.0133892,0.0047833994,111,0.0145287,0.0036438992,107,0.0181726,0.017554298,420
0.0119395,0.0049972003,89,0.0123594,0.0045773005,100,0.0124528,0.004483901,99,0.0123771,0.0045596007,94,0.0169367,0.018618003,382
0.0133527,0.005534401,111,0.0130649,0.0058222003,100,0.0130727,0.0058144005,101,0.0142756,0.0046115005,97,0.0188871,0.021782503,409
0.0137918,0.0032203998,93,0.0129572,0.004054999,94,0.0138804,0.0031317994,90,0.0132408,0.0037713991,98,0.0170122,0.014178597,375
0.012203,0.004497,93,0.0150672,0.0016327994,110,0.0129059,0.0037940992,111,0.0129491,0.0037508998,102,0.0167,0.013674798,416
0.0152002,0.0012103003,90,0.0124659,0.0039446,90,0.0138806,0.0025298996,109,0.013157,0.0032535,97,0.0164105,0.0109383,386
0.0133094,0.0045840004,114,0.0127843,0.0051090997,100,0.0142924,0.0036009997,110,0.0131649,0.0047285,91,0.0178934,0.0180226,415
0.0125681,0.0046592997,84,0.0136476,0.0035798,110,0.013966,0.0032614004,105,0.0136067,0.0036207,102,0.0172274,0.0151212,401
0.0133826,0.0046504,106,0.0131937,0.0048392992,99,0.0132424,0.0047905995,95,0.0133193,0.0047137,93,0.018033,0.018994,393
0.0139798,0.0026549995,112,0.0120875,0.0045473,91,0.0123643,0.0042704996,94,0.0136958,0.0029389998,114,0.0166348,0.014411799,411
0.0123702,0.0046291007,105,0.0125095,0.004489801,99,0.0124021,0.004597201,97,0.0123307,0.004668601,100,0.0169993,0.018384703,401
